,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,LEARNING,rest_v_task,11573.059013461549,11358.587500918513,0.051951982910866834,,,0.3146756038974919,0.7541549025267085,,,9333.0,0.8864070566248693,0.50634765625
Noise Ratio,LEARNING,rest_v_task,0.06357388316151202,0.06888960481099655,-0.17234533290520307,,,-1.22621027965359,0.22471292870492884,,,8484.0,0.3685596828568537,0.4602864583333333
Shifted Noise Ratio,LEARNING,rest_v_task,0.13155068728522337,0.15408881013745704,-0.3649958152563883,,,-2.471426787485877,0.016282622722255873,,,7202.0,0.013508421681949502,0.3907335069444444
β,LEARNING,rest_v_task,0.9999899849128617,0.9999899849128617,0.0,,,,,,,,,
Largest Eigenvalue,OSTEO,allpain_v_nopain,13632.889303230007,15370.196162716373,-0.8013082672043829,,,-2.7695454300443343,0.009815387755595161,,,357.0,0.01690818690268463,0.31875
Noise Ratio,OSTEO,allpain_v_nopain,0.014154579845102282,0.011371237458193979,0.5107444242152694,,,2.228534047599161,0.031019652779320363,,,712.0,0.06918694024525633,0.6357142857142857
Shifted Noise Ratio,OSTEO,allpain_v_nopain,0.018470032788474942,0.01705685618729097,0.2824327428306744,,,1.0288740321749934,0.31160369042365593,,,637.5,0.353934213112745,0.5691964285714286
β,OSTEO,allpain_v_nopain,0.9999899849128617,0.9999899849128617,0.0,,,,,,,,,
Largest Eigenvalue,OSTEO,allpain_v_duloxetine,13632.889303230007,13717.555844294671,-0.04315677584134314,,,-0.1752174926342711,0.8618948300549557,,,541.5,0.912685837534168,0.5089285714285714
Noise Ratio,OSTEO,allpain_v_duloxetine,0.014154579845102282,0.014962908805913146,-0.14671779168891017,,,-0.6162919337450986,0.5413280107614938,,,464.0,0.40232839133055587,0.43609022556390975
Shifted Noise Ratio,OSTEO,allpain_v_duloxetine,0.018470032788474942,0.016592541631794477,0.39042401220634376,,,1.499185100770518,0.14356776514455435,,,623.0,0.26049781156777674,0.5855263157894737
β,OSTEO,allpain_v_duloxetine,0.9999899849128617,0.9999899849128617,0.0,,,,,,,,,
Largest Eigenvalue,OSTEO,allpain_v_pain,13632.889303230007,13589.411890250856,0.02080202094400423,,,0.09672475307851598,0.9232092061847303,,,1026.5,0.9436734526614776,0.4954150579150579
Noise Ratio,OSTEO,allpain_v_pain,0.014154579845102282,0.013739492000361562,0.06937562429083058,,,0.3216228571585213,0.748664683201404,,,1104.0,0.5904009536663545,0.5328185328185329
Shifted Noise Ratio,OSTEO,allpain_v_pain,0.018470032788474942,0.019434149868932476,-0.2008238956388273,,,-0.953424743077525,0.34329297903623135,,,945.0,0.46524341126419266,0.4560810810810811
β,OSTEO,allpain_v_pain,0.9999899849128617,0.9999899849128613,1.5682663866382711,,,6.0,6.94952759711137e-07,,,,,
Largest Eigenvalue,OSTEO,nopain_v_pain,15370.196162716373,13589.411890250856,0.771665454502999,,,2.658666047200456,0.011821911034411341,,,501.0,0.029103403094398485,0.677027027027027
Noise Ratio,OSTEO,nopain_v_pain,0.011371237458193979,0.013739492000361562,-0.4146891198992715,,,-1.6594333530590748,0.10313615605327471,,,299.5,0.23208682919704648,0.4047297297297297
Shifted Noise Ratio,OSTEO,nopain_v_pain,0.01705685618729097,0.019434149868932476,-0.4782893465518712,,,-1.653212926917584,0.10730374598071638,,,287.0,0.1578230732132314,0.3878378378378378
β,OSTEO,nopain_v_pain,0.9999899849128617,0.9999899849128613,1.2192155209340498,,,6.0,6.94952759711137e-07,,,,,
Largest Eigenvalue,OSTEO,duloxetine_v_nopain,13717.555844294671,15370.196162716373,-0.7569944030587923,,,-2.3851812965103436,0.02281941099693634,,,118.0,0.04453961901813972,0.3105263157894737
Noise Ratio,OSTEO,duloxetine_v_nopain,0.014962908805913146,0.011371237458193979,0.796719174276787,,,2.4835886942641605,0.01771525372183944,,,271.5,0.02028817728659622,0.7144736842105263
Shifted Noise Ratio,OSTEO,duloxetine_v_nopain,0.016592541631794477,0.01705685618729097,-0.09165432217808177,,,-0.28720543045311164,0.7755717572021885,,,184.5,0.8861601639892192,0.4855263157894737
β,OSTEO,duloxetine_v_nopain,0.9999899849128617,0.9999899849128617,0.0,,,,,,,,,
Largest Eigenvalue,OSTEO,duloxetine_v_pain,13717.555844294671,13589.411890250856,0.06263522337881283,,,0.238519343005433,0.8125792245469303,,,342.0,0.8762329143858715,0.4864864864864865
Noise Ratio,OSTEO,duloxetine_v_pain,0.014962908805913146,0.013739492000361562,0.21120092202280885,,,0.8253620288512284,0.41331928624031966,,,419.5,0.2352644651790904,0.596728307254623
Shifted Noise Ratio,OSTEO,duloxetine_v_pain,0.016592541631794477,0.019434149868932476,-0.6042462372061463,,,-2.148296041138051,0.03834621150490652,,,260.5,0.10875718451966795,0.3705547652916074
β,OSTEO,duloxetine_v_pain,0.9999899849128617,0.9999899849128613,1.2080808993852437,,,6.0,6.94952759711137e-07,,,,,
Largest Eigenvalue,PSYCH_VIGILANCE_SES-1,high_v_low,82837.03756108905,72686.05439861548,0.40994832962736916,,,1.8925853924721963,0.06210130167880053,,,1141.0,0.13038296238542696,0.5942708333333333
Noise Ratio,PSYCH_VIGILANCE_SES-1,high_v_low,0.026477146042363436,0.019648829431438124,0.6418950669807272,,,3.1692817472902237,0.002249704922759332,,,1328.5,0.001802180753227795,0.6919270833333333
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-1,high_v_low,0.06640189520624303,0.04230769230769231,0.8533660512522411,,,4.228026749029428,7.082076282211323e-05,,,1355.5,0.0009118779617594787,0.7059895833333333
β,PSYCH_VIGILANCE_SES-1,high_v_low,0.9999899849128617,0.9999899849128617,0.0,,,,,,,,,
Largest Eigenvalue,PSYCH_VIGILANCE_SES-2,high_v_low,80078.06382961919,76367.84478121932,0.14714775068360894,,,0.6901841288289682,0.4920249485006062,,,1023.0,0.6492388221799401,0.5284090909090909
Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.02409546974764366,0.022651261781696564,0.1294553392881918,,,0.6071993635906241,0.5454350416383085,,,1139.0,0.14985772094264335,0.5883264462809917
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.059440559440559454,0.05145941015506234,0.2619712223259047,,,1.228753949817631,0.22257422470540777,,,1088.0,0.31771765914092875,0.5619834710743802
β,PSYCH_VIGILANCE_SES-2,high_v_low,0.9999899849128614,0.9999899849128614,0.0,,,0.0,1.0,,,,,
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-1,high_v_low,82873.61946160228,71505.3268575993,0.4613064109316649,,,2.0909970957751156,0.040125156953352066,,,1127.0,0.10593643021652331,0.6020299145299145
Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.023475688191407256,0.02322556670382757,0.02237377040198209,,,0.1065937449873369,0.9153689837233193,,,933.0,0.9828685202521827,0.4983974358974359
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.05428350913300747,0.05713489409141584,-0.09288117047721584,,,-0.4354119145579065,0.6644433511284198,,,861.0,0.5264299201840172,0.4599358974358974
β,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.9999899849128615,0.9999899849128613,0.662401321106836,,,2.7328774664924014,0.00881449572440829,,,,,
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-2,high_v_low,81311.78663920914,71604.02787586949,0.3903898683620682,,,1.6308469824706253,0.1095461932604935,,,931.0,0.4175064646625263,0.5541666666666667
Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.02385730211817168,0.022336359292881032,0.13632269072201342,,,0.635671102650241,0.5273175984838683,,,914.5,0.5022641693982378,0.544345238095238
