subject_id,panas_attentive,panas_alert,panas_sluggish,panas_tired,panas_sleepy,panas_drowsy,panas_interested,panas_concentrating,overall,overall_z,high_attender
01,6,6,5,4,8,5,7,7,48,1.1545533709034477,True
02,3,2,6,5,4,5,3,2,30,-1.633270622253658,False
03,7,5,4,4,5,7,5,6,43,0.380157817248696,True
04,4,3,4,4,4,5,4,3,31,-1.4783915115227078,False
05,5,4,7,6,7,7,5,5,46,0.844795149441547,True
06,4,4,8,5,7,7,4,4,43,0.380157817248696,True
07,6,5,7,7,7,6,5,4,47,0.9996742601724973,True
08,6,3,6,4,4,4,5,4,36,-0.7039959578679562,False
09,6,6,5,6,7,7,4,6,47,0.9996742601724973,True
10,5,4,5,5,5,6,5,4,39,-0.2393586256751052,False
11,6,5,6,3,4,6,6,6,42,0.2252787065177457,True
12,4,4,6,7,7,7,5,4,44,0.5350369279796463,True
13,4,4,5,7,6,6,7,3,42,0.2252787065177457,True
14,5,3,3,4,4,5,5,5,34,-1.0137541793298568,False
15,6,4,5,4,6,4,7,7,43,0.380157817248696,True
16,6,5,7,6,6,6,6,5,47,0.9996742601724973,True
17,4,3,4,4,4,3,5,3,30,-1.633270622253658,False
18,6,5,5,5,6,6,4,6,43,0.380157817248696,True
19,5,5,6,7,7,6,5,4,45,0.6899160387105966,True
20,4,2,3,3,4,3,3,4,26,-2.252787065177459,False
21,6,5,4,5,5,6,6,5,42,0.2252787065177457,True
22,5,5,7,5,6,6,6,4,44,0.5350369279796463,True
